"","province","year","corn_weight","soy_weight","acre_state","stateprop","policy_soy","target_soy","policy16","policy19","policy21"
"62","Liaoning",2011,0.0636401852023004,0.0152373708563098,156.1,3.76534722724751,0,0,0,0,0
"63","Liaoning",2012,0.0629949357404267,0.0161467992247305,154.9,3.67881062081414,0,0,0,0,0
"64","Liaoning",2013,0.061830917661571,0.0169206980340181,155.1,3.68513590572135,0,0,0,0,0
"65","Liaoning",2014,0.0627663414450185,0.0156472889307196,154.8,3.71748997382388,0,0,0,0,0
"66","Liaoning",2015,0.0634009543721947,0.0164614746161295,161.2,3.81999573449608,0,0,0,0,0
"67","Liaoning",2016,0.0631496505016117,0.00914654208067382,157.7,3.71697268248992,1,1131,1,0,0
"68","Liaoning",2017,0.0634920634920635,0.00901174073355327,152.6,3.65745512067684,1,565,1,0,0
"69","Liaoning",2018,0.064395764548387,0.00873668695321415,158.2,3.76030995222362,1,283,1,0,0
"70","Liaoning",2019,0.0647949210470859,0.00899085911463077,160.7,3.81067558274644,1,616,1,1,0
"71","Liaoning",2020,0.0654148985927303,0.0104427017455097,161.4,3.76416810485564,1,304,1,1,0
"72","Liaoning",2021,0.0628794068903754,0.0123464125294104,161.6,3.73304996650419,0,0,0,0,-1
"73","Heilongjiang",2010,0.134411894117249,0.416625566593861,2800.9,23.0409173919481,0,0,0,0,0
"74","Heilongjiang",2011,0.13676706905136,0.405869303416366,2853.9,23.3487961122156,0,0,0,0,0
"75","Heilongjiang",2012,0.148176695270884,0.371432156950235,2879.7,23.5327286099534,0,0,0,0,0
"76","Heilongjiang",2013,0.149992841094321,0.357823429791621,2885.3,23.6484492820143,0,0,0,0,0
"77","Heilongjiang",2014,0.146543689424999,0.378932043118281,2892.3,23.6571540745467,0,0,0,0,0
"78","Heilongjiang",2015,0.1527074211751,0.368976806381703,2902,23.6050105742639,0,0,0,0,0
"79","Heilongjiang",2016,0.147776248596574,0.424175824175824,2908.9,19.6156310057655,1,1131,1,0,0
"80","Heilongjiang",2017,0.138276846152032,0.45307345235785,2917.4,19.755410493242,1,565,1,0,0
"81","Heilongjiang",2018,0.149959292762182,0.424079973373906,2956.4,20.1481602638807,1,283,1,0,0
"82","Heilongjiang",2019,0.142296913339518,0.458598111812424,2965.5,20.0777245922506,1,616,1,1,0
"83","Heilongjiang",2020,0.132819410483154,0.488955223880597,2972.1,19.9334679177202,1,304,1,1,0
"84","Heilongjiang",2021,0.150590201319355,0.461986358343038,3042.9,20.1984732824427,0,0,0,0,-1
